video_id,manipulation_type,class_label,total_frames,frames_sampled,frames_with_face,face_detection_rate,brightness_mean,brightness_std,brightness_min,brightness_max,optical_flow_mean,optical_flow_std,optical_flow_min,optical_flow_max,ear_mean,ear_std,ear_min,ear_max,landmark_disp_mean,landmark_disp_std,landmark_disp_min,landmark_disp_max,dct_low_mean,dct_low_std,dct_high_mean,dct_high_std,lm_ratio_var,lm_face_asym,lbp_chi_dist
46,original,real,504.0,100.0,100.0,1.0,146.6342,0.6603,145.1799,148.3093,0.6169,0.3733,0.0834,1.7733,0.2958,0.0464,0.1225,0.3812,9.2598,6.9484,1.0931,34.1436,62460.5555,1032.2444,758.4523,47.3439,0.0004639696097137652,0.0807906382214333,0.0033751153339815435
54,original,real,368.0,73.0,73.0,1.0,67.5681,1.2117,65.1558,70.6411,0.7171,0.3498,0.1571,1.7104,0.2855,0.046,0.1902,0.376,6.2641,3.9239,1.0419,21.7293,51869.8219,896.8274,1654.0905,96.0942,0.0007672029812407147,0.0924964674886642,0.010109852656323505
55,original,real,394.0,78.0,78.0,1.0,75.6019,1.09,71.8161,78.27,0.8176,0.6808,0.1207,2.9631,0.2531,0.0537,0.0978,0.3846,5.6457,3.8677,1.0136,21.1834,55303.6591,872.0394,1928.3582,82.6841,0.00022655568792421163,0.11137539666061684,0.004029930189352034
60,original,real,844.0,100.0,100.0,1.0,104.0973,6.6506,92.5835,115.0055,4.0159,2.2501,0.741,9.2667,0.2565,0.0551,0.1503,0.4301,7.0639,5.1224,1.1733,23.8187,59222.9658,2710.0651,1896.475,209.7352,0.00046470421753888515,0.2598601135258376,0.005677664846486796
62,original,real,423.0,84.0,84.0,1.0,107.3261,2.7139,101.7954,109.6846,0.4435,0.2677,0.1372,1.4914,0.3218,0.0212,0.2621,0.3696,2.7469,1.7982,0.3271,9.5728,55114.268,1089.4055,695.5779,25.7567,0.00020936649275604268,0.09041854500552612,0.0042467130182171275
66,original,real,435.0,87.0,87.0,1.0,128.8674,2.9501,125.419,140.1784,2.08,0.9852,0.7051,5.3163,0.2763,0.0257,0.1909,0.3387,4.0434,2.6059,0.7019,12.8497,63444.9466,3459.8913,1905.2958,76.4551,0.00015338479370710837,0.06426523103783786,0.003383982205895475
71,original,real,453.0,90.0,90.0,1.0,89.0912,9.8075,77.5621,111.6538,2.1405,1.1181,0.7468,5.2643,0.3717,0.0495,0.2665,0.4846,4.4179,3.2082,0.7815,25.4465,51694.1346,5332.805,1053.5204,122.8172,0.00016576562726186008,0.09882884608479532,0.007035281350996147
88,original,real,665.0,100.0,100.0,1.0,57.8719,5.8706,44.5819,70.2008,3.1364,1.0147,1.271,6.5221,0.3074,0.0414,0.1644,0.3916,3.6893,2.6879,0.9337,15.0786,45876.9874,5275.2898,885.528,72.7575,6.991642304644514e-05,0.08971898684704678,0.003504609822633895
96,original,real,504.0,100.0,100.0,1.0,111.8679,0.6274,110.0594,112.8077,0.3188,0.166,0.0779,0.8356,0.3379,0.0377,0.2491,0.4299,5.8722,3.8472,1.0541,18.4691,70585.9641,662.1356,2308.5,98.1029,0.0004424512944073608,0.13779816253337535,0.0048056649678978386
97,original,real,478.0,95.0,95.0,1.0,102.6849,1.3145,94.3796,103.9686,0.8797,0.5163,0.5445,4.2618,0.2567,0.0309,0.1661,0.3423,1.7378,1.719,0.283,14.1363,69502.3028,932.2869,2650.3587,80.0652,7.136331860233622e-05,0.03580435446637355,0.004068886982807491
101,original,real,1148.0,100.0,100.0,1.0,97.9904,0.7542,96.3715,100.228,0.9937,0.3061,0.5583,2.0843,0.3973,0.0395,0.2508,0.4754,5.2548,3.975,0.7418,20.9564,71949.5749,414.347,1883.8381,100.3897,0.00027397020434572156,0.08651121732058857,0.005678713549091119
107,original,real,556.0,100.0,100.0,1.0,123.8562,0.986,122.2993,129.9012,0.7943,0.2585,0.0401,1.6002,0.3198,0.0289,0.2414,0.3827,1.6147,1.2851,0.2267,6.876,68398.4368,637.3535,1512.0815,76.2222,0.00016739587302689956,0.052814431556071254,0.002378958886259072
109,original,real,298.0,59.0,59.0,1.0,66.6554,1.1892,63.8611,69.6584,0.5242,0.1605,0.2617,1.1152,0.3841,0.0276,0.3058,0.4412,1.8773,1.5843,0.4716,9.2786,47096.7448,1053.756,1126.0217,42.0061,6.256420244177978e-05,0.04737742321034285,0.005331584233245791
112,original,real,418.0,83.0,83.0,1.0,114.4061,3.4002,109.57,121.3028,1.5103,0.5504,0.5139,3.0173,0.3022,0.0741,0.1066,0.3921,20.0538,15.8126,4.2872,120.3489,52378.4533,4959.458,1027.996,332.8324,0.00039553830903157195,0.0789376481700109,0.002531176091883216
128,original,real,735.0,100.0,97.0,0.97,109.8643,1.6195,108.623,115.4569,0.4079,0.4303,0.042,2.8837,0.2483,0.0508,0.119,0.3655,3.9037,3.7456,0.501,17.7348,58190.9492,2592.4453,2149.664,124.7987,0.0005817178339823896,0.09582069242331445,0.004345214510058353
134,original,real,346.0,69.0,69.0,1.0,100.7565,8.4763,88.6937,116.175,0.5246,0.5685,0.1081,4.4947,0.3286,0.0423,0.1404,0.3786,3.9336,3.7035,1.2225,20.3777,52251.7712,5964.2492,1976.4437,123.1736,0.0005639732683558771,0.11245135225155407,0.0030319565152516314
147,original,real,667.0,100.0,100.0,1.0,185.4204,2.3842,179.9406,188.1999,1.4362,0.8408,0.2588,3.7773,0.2739,0.0324,0.1833,0.3518,6.7303,4.1206,0.8387,19.7015,79544.335,1333.9319,1396.4905,64.0997,0.0002452016577809491,0.055023285031180605,0.002711045750761042
150,original,real,456.0,91.0,91.0,1.0,49.0786,1.0201,46.7392,50.2942,0.2665,0.161,0.0529,1.0004,0.2683,0.0339,0.1591,0.3287,3.365,2.7608,0.4397,16.0373,38922.9627,830.9988,1543.0233,159.3475,0.00013363095002697528,0.0675887836726406,0.003927286237382537
153,original,real,732.0,100.0,100.0,1.0,98.5882,1.083,95.8789,100.505,1.0341,0.3619,0.362,2.2574,0.3286,0.0635,0.1462,0.4409,5.173,3.1228,0.7175,17.2358,52849.5963,703.1676,1293.4157,118.32,0.0002456410368577195,0.15023859745519524,0.011569972942771747
159,original,real,325.0,65.0,65.0,1.0,124.0722,1.3187,121.6304,127.4113,2.1112,0.5781,0.9344,3.1783,0.223,0.0284,0.1561,0.2974,5.4133,3.3084,1.1453,17.7484,76339.9572,1478.871,1504.4134,56.5358,0.00014637187847019176,0.06528423607303299,0.005477120724791261
168,original,real,1228.0,100.0,100.0,1.0,114.6543,1.1183,111.2154,116.8101,0.4022,0.3206,0.0734,1.5494,0.3545,0.0599,0.2228,0.4578,2.7971,2.1581,0.5056,9.1747,67782.2706,501.945,1529.726,36.0732,4.8837730579242096e-05,0.09685105615106424,0.0037848738628698947
175,original,real,504.0,100.0,100.0,1.0,119.9711,5.6162,108.0514,126.8096,1.396,1.1773,0.2088,9.2484,0.2739,0.036,0.1852,0.3712,8.4279,8.1301,0.4508,46.4641,72043.4554,1224.633,932.427,125.189,0.0003368958003540817,0.17704892205291012,0.007726563860411391
178,original,real,521.0,100.0,100.0,1.0,108.5251,0.3092,107.6255,109.4092,0.2629,0.3733,0.0265,3.282,0.3355,0.0463,0.2075,0.437,3.9877,3.0302,0.4828,16.4683,74499.5783,728.0361,1194.4465,67.1737,0.0002535757928285986,0.1852538361035413,0.006316690563674059
183,original,real,390.0,78.0,78.0,1.0,72.2907,0.4532,71.1156,72.9579,0.7619,0.2445,0.3581,1.8063,0.2579,0.0706,0.144,0.4066,8.1437,6.2576,1.1307,32.2278,54115.4742,425.4458,2057.2326,47.4331,9.924536244877815e-05,0.35109754076772315,0.003971023783203352
189,original,real,512.0,100.0,100.0,1.0,155.6418,10.725,142.2291,181.8347,0.9098,0.4052,0.2742,2.0328,0.3087,0.0528,0.1525,0.3812,4.4073,3.45,0.5452,15.6914,86317.7277,3030.8446,1529.6792,96.9413,0.00021030628631041876,0.12333838665175541,0.0029267418615037902
192,original,real,287.0,57.0,57.0,1.0,98.179,0.3399,97.4855,98.782,0.4426,0.2972,0.0853,1.4557,0.3222,0.0615,0.1373,0.3879,5.5321,4.1336,1.4613,20.1633,58285.7404,339.8026,957.6093,38.9617,0.000495043605704706,0.16007862432673053,0.004766648260522473
200,original,real,719.0,100.0,100.0,1.0,131.9524,1.8218,127.1399,134.9166,2.3641,0.301,1.7838,3.4585,0.2735,0.037,0.1515,0.3446,3.1075,2.1668,0.9543,13.5415,71859.7022,1012.7919,1448.6259,77.401,0.0002791519081495533,0.04484090464311888,0.0033116300182590166
206,original,real,714.0,100.0,100.0,1.0,93.4743,0.6228,92.3191,94.9573,0.2818,0.1911,0.0289,1.0035,0.3981,0.0306,0.3133,0.4673,2.8807,1.8713,0.3834,10.206,71544.3455,320.2027,1451.7338,46.654,0.00018601032753013064,0.06901386284947374,0.007642420257495938
210,original,real,839.0,100.0,100.0,1.0,90.5753,1.8034,82.4973,92.3718,0.5958,0.3399,0.1902,2.2923,0.2314,0.0437,0.1182,0.309,3.2071,1.8664,0.6282,8.7415,57640.7198,2484.7481,1877.1384,129.3399,8.322027778367839e-05,0.05723922621408208,0.0036143699559137185
221,original,real,718.0,100.0,100.0,1.0,47.1739,3.7259,44.9587,62.9123,0.2383,0.195,0.0258,1.3772,0.2988,0.0832,0.0803,0.4203,3.1962,2.255,0.5158,14.1625,39811.7599,3936.4897,1514.2687,66.2977,0.00039064150073432613,0.13042394126221196,0.004293236501944168
222,original,real,407.0,81.0,81.0,1.0,126.5813,2.7455,117.4345,138.4066,0.6685,0.4661,0.0768,2.444,0.3501,0.0365,0.2129,0.4184,3.0148,2.2192,0.7288,11.7938,61215.8696,1498.482,1114.3666,51.1091,0.0005863315260617629,0.1395559300754621,0.002469479392014187
228,original,real,556.0,100.0,100.0,1.0,112.6657,1.5902,111.2817,116.2279,0.203,0.1016,0.0577,0.6149,0.3723,0.0299,0.2539,0.432,3.9011,2.6975,0.9186,15.3123,63807.9002,1413.8727,1244.5077,112.9627,0.00033595221958150124,0.05679828449704932,0.0024414213026644153
241,original,real,292.0,58.0,58.0,1.0,85.9714,0.6917,85.0843,87.5497,0.6467,0.4683,0.0669,2.1128,0.3257,0.0568,0.1536,0.3961,7.1206,5.6205,0.8403,24.2123,50375.3341,303.0376,1642.9126,41.355,7.318145033873408e-05,0.2807287049153428,0.007095787995198303
246,original,real,496.0,99.0,99.0,1.0,70.125,0.7869,68.8199,72.1194,0.4183,0.2428,0.1373,1.3721,0.3412,0.042,0.2068,0.4193,4.4704,4.0788,0.6481,23.865,49448.8248,1301.9262,1531.899,89.4732,9.785859578197987e-05,0.07896674210470327,0.003083243551678891
251,original,real,346.0,69.0,69.0,1.0,77.4638,0.4719,76.4663,78.118,0.2651,0.1392,0.0654,0.6172,0.3863,0.0589,0.1642,0.4564,5.9559,3.7471,0.9159,17.3704,58984.3725,393.1452,1296.1362,35.6549,0.00027612831191288435,0.0887828930470684,0.005288066648949587
252,original,real,572.0,100.0,100.0,1.0,155.8463,9.6954,127.3211,173.3774,1.8067,1.5726,0.1896,5.5001,0.2394,0.0264,0.1638,0.2862,3.7586,2.3547,0.7987,11.8455,72405.9177,2915.6908,2171.8023,196.4415,0.00043703894556964624,0.04787059051560485,0.004181552696450206
253,original,real,501.0,100.0,100.0,1.0,209.0847,5.8061,201.4025,218.7841,0.4316,0.4207,0.06,3.4659,0.3056,0.0549,0.1102,0.4005,8.9356,21.1943,1.0725,207.554,98365.5603,2307.1081,1262.8712,283.1054,0.0003206754494093969,0.11570224596218667,0.006037943080165287
254,original,real,427.0,85.0,85.0,1.0,87.5857,0.5319,86.1614,89.3486,0.4229,0.3318,0.1818,3.2318,0.3621,0.0349,0.2394,0.4296,4.2984,3.2095,0.8083,18.638,67324.6795,345.8696,1629.4354,47.0863,0.0001182685583357349,0.20563710224555698,0.005417602489301273
257,original,real,763.0,100.0,100.0,1.0,95.3731,6.2298,83.3765,116.2694,3.2163,2.8533,0.1775,11.9731,0.3201,0.0316,0.2534,0.3847,1.9319,1.4673,0.3859,9.2897,60663.2615,3698.6478,882.0298,130.4719,0.00020141735828066727,0.045970314618204576,0.003073053650212413
258,original,real,498.0,99.0,99.0,1.0,106.9441,12.0994,81.295,124.081,2.803,1.7964,0.4022,9.4788,0.2849,0.0674,0.0782,0.3794,8.2183,7.1874,1.2739,60.39,63609.7894,5258.9322,1947.6075,184.0916,0.0002973444530804731,0.10057868448624271,0.002595512149455104
261,original,real,677.0,100.0,100.0,1.0,63.315,0.2167,62.5403,63.6921,0.3891,0.1143,0.2036,0.8773,0.377,0.0585,0.2044,0.5225,2.9469,1.941,0.8879,12.3213,47970.2428,264.6151,1325.9158,50.676,0.0003229231602010884,0.2526801909856194,0.0032363448173724305
263,original,real,300.0,60.0,60.0,1.0,119.8696,2.4711,116.9174,131.1731,1.513,0.9467,0.1412,3.6404,0.2418,0.065,0.1251,0.372,12.6327,9.2306,2.3012,48.7514,60334.8529,2717.5449,1033.3212,77.9307,0.0002236858201894045,0.07298478841794635,0.002827915686134062
264,original,real,455.0,91.0,91.0,1.0,122.7069,1.2361,120.5262,131.7929,0.2754,0.4401,0.0345,3.8105,0.2893,0.0502,0.137,0.3845,2.5371,2.0223,0.6602,10.0047,79124.8645,383.3569,2084.9904,153.0989,0.0008092946818509158,0.05673797325850586,0.0044507892119531565
266,original,real,465.0,93.0,92.0,0.9892,83.6031,3.2141,79.5766,91.945,2.4807,0.9354,0.8267,4.1354,0.2337,0.0316,0.1493,0.3278,3.0214,2.5716,0.5365,15.7347,46688.5427,2308.3311,1284.9383,56.2153,0.0002923271113535865,0.054694841194788756,0.004061927623074536
271,original,real,490.0,98.0,98.0,1.0,130.9031,1.1618,128.2397,133.5677,0.5361,0.3403,0.0983,1.8933,0.305,0.0531,0.1982,0.52,3.3632,2.6325,0.566,15.9298,70684.3813,740.1176,2322.8966,338.8491,0.00036692625091823866,0.10750459435787127,0.002507585616831435
272,original,real,323.0,64.0,64.0,1.0,146.7447,9.7994,131.3265,168.8872,1.051,0.8,0.287,5.0976,0.2112,0.0905,0.0699,0.3973,5.9979,4.388,1.0898,21.7321,82243.0465,4266.5349,1408.4249,298.5586,0.00010529896276433926,0.0789361344165853,0.004843801995135743
284,original,real,483.0,96.0,96.0,1.0,80.7236,2.3711,77.1918,85.6977,1.653,0.7153,0.3902,3.4476,0.2593,0.048,0.1441,0.3398,18.312,12.2759,4.4934,62.0936,43763.3741,1692.8091,1626.8146,142.6319,0.00028111795264695,0.18037288402535362,0.003901144469933093
288,original,real,543.0,100.0,100.0,1.0,113.3457,4.347,109.1815,119.343,0.2992,0.1823,0.0555,0.8663,0.3185,0.0277,0.1962,0.3724,2.8634,1.9431,0.566,11.8175,64635.7621,2146.9948,1157.4653,128.5975,0.00019873063282035237,0.05585936228305299,0.003122795816015899
289,original,real,597.0,100.0,100.0,1.0,85.618,0.67,83.911,86.9538,0.996,0.2498,0.537,1.6366,0.2508,0.0274,0.1516,0.3027,2.5658,2.0109,0.4595,9.6244,49996.8532,732.774,1323.1318,66.5767,0.0001487294836277803,0.09763135743688475,0.004070006239086012
292,original,real,425.0,85.0,85.0,1.0,94.8674,3.2904,88.4812,101.385,0.7899,0.3457,0.1208,1.6296,0.3073,0.051,0.1681,0.4274,8.4693,5.2581,0.9597,26.8046,65764.446,1225.3413,1709.0002,82.1597,0.001033550395970584,0.17562182249908104,0.003213840160847644
294,original,real,604.0,100.0,100.0,1.0,77.6573,1.4672,75.2105,80.7448,0.6322,0.1569,0.4255,1.2043,0.3386,0.0522,0.1449,0.4139,4.0741,3.2793,0.9028,21.2154,47730.4253,543.3053,1763.8245,120.9656,0.0002500577835964866,0.060289161028401296,0.0036560247278563545
321,original,real,567.0,100.0,100.0,1.0,89.8517,5.6343,83.1574,99.9104,0.6534,0.4981,0.1376,3.7058,0.4167,0.0343,0.2557,0.4828,2.7137,2.1542,0.7322,12.6175,64390.932,5156.8853,2199.9241,206.003,0.00033509561696210693,0.07123482786092954,0.0034292228097678973
324,original,real,1249.0,100.0,100.0,1.0,91.3159,5.5161,80.5054,110.2138,2.2732,1.0884,0.4637,5.1411,0.3317,0.0405,0.2088,0.4214,5.5601,5.2595,1.224,37.0042,74335.8111,4510.1634,1097.6821,58.2795,3.602273202849909e-05,0.4426848526975931,0.0034087101728278012
337,original,real,331.0,66.0,66.0,1.0,80.7852,1.0649,78.6236,83.1362,1.4052,0.5593,0.0325,3.2693,0.2922,0.0438,0.1997,0.3783,3.477,2.1979,0.283,9.9273,60904.5314,880.1438,1571.8782,81.6114,0.0005040983569219579,0.04039139453036842,0.00612864813766682
339,original,real,457.0,91.0,91.0,1.0,73.9104,0.9532,72.6744,77.253,0.6721,0.5913,0.0793,4.7763,0.2428,0.073,0.1045,0.3673,3.8272,2.3299,0.4985,16.945,62240.3639,812.3436,828.5884,44.9646,0.0002534346459584496,0.09901375243055535,0.0048526621982691795
356,original,real,558.0,100.0,100.0,1.0,143.5683,9.6527,123.3583,159.6668,1.8705,1.6722,0.7024,14.5861,0.2343,0.0323,0.1233,0.3015,5.4164,3.2402,0.9009,18.3939,71939.6609,3378.6969,1781.6939,93.0967,0.001218416297567596,0.0627969291109052,0.0028807432467698574
360,original,real,385.0,77.0,77.0,1.0,100.0157,2.5347,97.46,109.8778,0.7793,0.4405,0.3055,3.1442,0.2427,0.0898,0.1117,0.3676,12.8308,8.7041,2.7282,46.6158,54683.4604,1763.0646,513.1038,37.9644,0.00010534782071854895,0.17181577423250838,0.005661469992278763
361,original,real,455.0,91.0,91.0,1.0,130.106,2.1333,123.9249,134.7015,2.0602,0.9405,0.399,4.1856,0.2764,0.0667,0.1144,0.3878,22.4027,22.1896,1.9827,143.8378,57387.7844,1919.491,1701.1722,88.0923,0.003959458282902982,0.17615924262451527,0.004014779845702059
375,original,real,353.0,70.0,70.0,1.0,127.0052,11.2307,101.4287,141.9352,1.7973,2.0394,0.3889,12.5243,0.3754,0.0537,0.1736,0.4582,6.9372,3.2964,2.0622,15.826,61507.3545,5474.835,1425.9166,254.0371,0.0002037054613233051,0.1855936022297641,0.008028964973956458
376,original,real,515.0,100.0,100.0,1.0,74.0362,3.1149,64.0252,77.2056,0.556,0.5915,0.2141,4.3533,0.3192,0.0587,0.1879,0.4214,4.0482,2.4667,0.7772,14.4656,57998.4306,4104.2114,1609.114,126.6789,0.0002795846288676843,0.12388696989857437,0.007449854490076362
381,original,real,578.0,100.0,100.0,1.0,101.1243,7.6054,89.3563,112.4476,1.3359,0.6388,0.4752,4.5259,0.3618,0.0283,0.2568,0.4182,4.9277,3.7286,0.8717,17.9323,48302.0084,3155.9728,708.3062,54.2681,0.00016200350965148605,0.13576320446972717,0.003015227646411677
392,original,real,1496.0,100.0,100.0,1.0,55.1187,2.2339,50.4497,58.7446,1.2629,0.7823,0.2278,3.4591,0.2826,0.037,0.1485,0.3617,13.0706,9.8626,2.0638,60.1878,43958.41,1711.1479,1099.1801,79.1007,0.0007317752011470475,0.18662315837217935,0.0069914780766125555
396,original,real,525.0,100.0,100.0,1.0,57.6454,0.2928,56.962,58.2156,0.6634,0.1981,0.3901,1.3227,0.3254,0.028,0.251,0.3789,5.3501,3.6434,0.893,16.2757,49685.7562,871.2727,1396.5664,38.3924,0.00035066163380685606,0.07549175019970343,0.006568707018777879
399,original,real,862.0,100.0,100.0,1.0,157.7956,0.5919,156.0611,159.2884,0.9226,0.4019,0.3502,2.4766,0.3064,0.0655,0.1624,0.4091,9.7178,6.4219,2.9442,36.2269,63857.0388,729.2948,847.2448,28.5198,0.00044790973813020894,0.15749477455524483,0.005044848153588032
420,original,real,1126.0,100.0,100.0,1.0,136.7246,6.8074,122.8164,143.0229,0.7307,0.2665,0.3622,1.8773,0.3291,0.0411,0.2361,0.4471,1.6037,1.2063,0.1826,5.7256,66066.8987,3754.6651,1093.3702,142.5886,0.0004611301869206144,0.07281770234148319,0.004186687175104686
434,original,real,337.0,67.0,67.0,1.0,38.3973,0.5388,37.3441,39.9049,0.6019,0.3584,0.1431,2.0215,0.3153,0.0637,0.1587,0.4145,5.8939,4.6691,0.9347,31.4715,37953.9273,429.3089,1512.2389,24.7434,0.00037212485639135756,0.07100258375762829,0.005043430718460432
435,original,real,476.0,95.0,95.0,1.0,69.3357,1.6608,67.0555,74.044,0.6295,0.5318,0.1253,3.4648,0.2884,0.0407,0.17,0.3843,3.8232,2.9802,0.6294,17.0636,47828.5258,1260.0606,1305.796,152.1807,0.00029630002409022655,0.1138679165606143,0.006793380482405271
437,original,real,593.0,100.0,100.0,1.0,127.7708,1.7996,120.2356,136.955,1.4092,0.7177,0.2754,3.764,0.2931,0.0459,0.1377,0.3516,8.9605,5.6329,1.9994,38.6665,66573.7889,1143.9968,1112.8765,50.3569,0.0001049834334912976,0.0957159466238102,0.006213946201012128
438,original,real,542.0,100.0,100.0,1.0,114.4741,0.6957,113.1351,116.3442,0.5165,0.2423,0.0763,1.4321,0.3386,0.0348,0.1498,0.4184,4.6109,2.6238,0.7677,14.8865,51723.8122,808.4413,1379.0267,42.1706,8.627159389514618e-05,0.10436120741501183,0.004679729890189537
439,original,real,462.0,92.0,92.0,1.0,105.5143,3.7456,99.7489,113.1659,1.204,0.5436,0.4178,3.0608,0.3799,0.0581,0.1932,0.4743,5.1449,3.3376,1.5565,25.8629,67641.9502,1423.9703,824.2945,65.4028,0.0001309111568748386,0.04276475249355974,0.002679921724765248
441,original,real,305.0,61.0,61.0,1.0,107.7033,3.6568,101.7539,114.9054,1.4207,0.946,0.0818,5.2266,0.2546,0.0408,0.1355,0.3317,6.1005,4.3402,0.6076,19.5029,77460.4422,1111.3595,755.9561,30.2551,0.0002467963565617153,0.06733519509707812,0.0037987794371494737
448,original,real,528.0,100.0,100.0,1.0,87.9887,0.3932,86.5987,88.5278,0.7581,0.4029,0.1286,1.7705,0.2607,0.0361,0.1749,0.3522,13.2943,13.9553,1.7867,78.6702,56481.959,517.4203,967.8388,36.8999,0.00020502346486856465,0.25095681093329314,0.0044041708263434344
452,original,real,606.0,100.0,96.0,0.96,64.6493,0.6835,61.422,66.4017,0.949,0.2977,0.5938,1.9755,0.4089,0.0417,0.2993,0.4975,5.3068,4.054,0.7606,22.1148,42816.3591,490.0756,1659.6896,75.0557,0.000290854159353922,0.07178324923716908,0.0040259044133668966
456,original,real,608.0,100.0,100.0,1.0,113.5621,14.8171,86.9105,134.1699,1.2461,0.8642,0.585,5.6581,0.2347,0.0261,0.1609,0.3019,15.3475,58.8,1.3078,424.6094,62326.6685,3156.2008,1738.7364,151.6948,0.0004481783738878654,0.08422992224568518,0.0061148269828337305
468,original,real,597.0,100.0,100.0,1.0,91.1577,2.2548,86.5894,97.0452,0.7392,0.4388,0.2014,2.6006,0.284,0.0306,0.213,0.3758,5.9088,4.3871,0.9424,26.4166,50316.7977,1324.2052,868.8437,124.7737,0.00021369697362221788,0.0510109065893047,0.006170315509918422
469,original,real,414.0,82.0,82.0,1.0,118.503,2.5272,110.1757,124.7453,1.9174,1.0094,0.4895,5.1487,0.2281,0.0432,0.1469,0.3325,5.997,5.032,0.9449,32.0714,56220.0143,1691.3933,631.2573,58.2969,0.00014954482839208064,0.07820266512424755,0.004776460257153076
470,original,real,905.0,100.0,100.0,1.0,55.3608,0.541,54.4311,56.9718,0.6706,0.3604,0.1501,1.758,0.3119,0.0431,0.2142,0.4213,8.5076,5.4024,0.9355,23.4135,47328.9185,993.1261,1608.7338,23.7542,0.00021797217942424045,0.06405199914629961,0.008035424414462478
479,original,real,488.0,97.0,97.0,1.0,124.8583,0.6592,122.0975,126.2938,0.7824,0.2768,0.3214,1.673,0.3302,0.0331,0.174,0.385,13.7645,6.3733,5.0219,36.2903,73547.4534,671.9615,1164.9818,54.3687,0.00023727623454553327,0.10067655596757356,0.0026690294066639476
481,original,real,414.0,82.0,82.0,1.0,69.0613,1.9707,65.6327,74.2243,1.8949,0.8211,0.6197,4.3217,0.3339,0.0504,0.1238,0.407,7.4921,6.0072,1.5367,29.1712,63261.4232,2977.4876,1699.4577,167.6198,0.0001572303343539997,0.11744726272324786,0.0041340097148832595
